ID,Arenas,Artist,Aspects,BackArt,BackText,Cost,DoubleSided,EpicAction,FoilPrice,FrontArt,FrontText,HP,Keywords,LowFoilPrice,LowPrice,MarketPrice,Name,Number,Power,Rarity,Set,Subtitle,Traits,Type,Unique,VariantType
JTL-163,Ground,Christian Papazoglakis,Aggression,,,4,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/163.png,"This unit costs 1 less to play for each damaged ground unit.
Overwhelm (When attacking an enemy unit, deal excess damage to the opponent's base.)",4,Overwhelm,,0.03,0.06,AT-DP Occupier,163,3,Common,JTL,,IMPERIAL;VEHICLE;WALKER,Unit,False,Normal
JTL-425,Ground,Christian Papazoglakis,Aggression,,,4,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/425.png,"This unit costs 1 less to play for each damaged ground unit.
Overwhelm (When attacking an enemy unit, deal excess damage to the opponent's base.)",4,Overwhelm,,0.06,0.16,AT-DP Occupier,425,3,Common,JTL,,IMPERIAL;VEHICLE;WALKER,Unit,False,Hyperspace
JTL-661,Ground,Christian Papazoglakis,Aggression,,,4,False,,0.50,https://cdn.swu-db.com/images/cards/JTL/661.png,"This unit costs 1 less to play for each damaged ground unit.
Overwhelm (When attacking an enemy unit, deal excess damage to the opponent's base.)",4,Overwhelm,0.10,,0.14,AT-DP Occupier,661,3,Common,JTL,,IMPERIAL;VEHICLE;WALKER,Unit,False,Foil
JTL-897,Ground,Christian Papazoglakis,Aggression,,,4,False,,3.63,https://cdn.swu-db.com/images/cards/JTL/897.png,"This unit costs 1 less to play for each damaged ground unit.
Overwhelm (When attacking an enemy unit, deal excess damage to the opponent's base.)",4,Overwhelm,0.14,,0.26,AT-DP Occupier,897,3,Common,JTL,,IMPERIAL;VEHICLE;WALKER,Unit,False,Hyperspace Foil
JTL-058,Ground,Facundo Moyano,Vigilance,,,2,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/058.png,"Sentinel (Units in this arena can't attack your non-Sentinel units or your base.)
Piloting [C=2 Vigilance] (You may play this as an upgrade on a friendly Vehicle without a Pilot.)
Attached unit gains Sentinel.",2,Piloting;Sentinel,,0.04,0.08,Academy Graduate,058,1,Common,JTL,,IMPERIAL;PILOT,Unit,False,Normal
JTL-320,Ground,Facundo Moyano,Vigilance,,,2,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/320.png,"Sentinel (Units in this arena can't attack your non-Sentinel units or your base.)
Piloting [C=2 Vigilance] (You may play this as an upgrade on a friendly Vehicle without a Pilot.)
Attached unit gains Sentinel.",2,Piloting;Sentinel,,0.08,0.19,Academy Graduate,320,1,Common,JTL,,IMPERIAL;PILOT,Unit,False,Hyperspace
JTL-556,Ground,Facundo Moyano,Vigilance,,,2,False,,0.49,https://cdn.swu-db.com/images/cards/JTL/556.png,"Sentinel (Units in this arena can't attack your non-Sentinel units or your base.)
Piloting [C=2 Vigilance] (You may play this as an upgrade on a friendly Vehicle without a Pilot.)
Attached unit gains Sentinel.",2,Piloting;Sentinel,0.09,,0.17,Academy Graduate,556,1,Common,JTL,,IMPERIAL;PILOT,Unit,False,Foil
JTL-792,Ground,Facundo Moyano,Vigilance,,,2,False,,0.32,https://cdn.swu-db.com/images/cards/JTL/792.png,"Sentinel (Units in this arena can't attack your non-Sentinel units or your base.)
Piloting [C=2 Vigilance] (You may play this as an upgrade on a friendly Vehicle without a Pilot.)
Attached unit gains Sentinel.",2,Piloting;Sentinel,0.15,,0.26,Academy Graduate,792,1,Common,JTL,,IMPERIAL;PILOT,Unit,False,Hyperspace Foil
JTL-114,Space,French Carlomagno,Command,,,4,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/114.png,"Restore 2 (When this unit attacks, heal 2 damage from your base.)",4,Restore,,0.03,0.08,Adept ARC-170,114,3,Common,JTL,,REPUBLIC;VEHICLE;FIGHTER,Unit,False,Normal
JTL-376,Space,French Carlomagno,Command,,,4,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/376.png,"Restore 2 (When this unit attacks, heal 2 damage from your base.)",4,Restore,,0.04,0.22,Adept ARC-170,376,3,Common,JTL,,REPUBLIC;VEHICLE;FIGHTER,Unit,False,Hyperspace
JTL-612,Space,French Carlomagno,Command,,,4,False,,0.50,https://cdn.swu-db.com/images/cards/JTL/612.png,"Restore 2 (When this unit attacks, heal 2 damage from your base.)",4,Restore,0.09,,0.16,Adept ARC-170,612,3,Common,JTL,,REPUBLIC;VEHICLE;FIGHTER,Unit,False,Foil
JTL-848,Space,French Carlomagno,Command,,,4,False,,3.59,https://cdn.swu-db.com/images/cards/JTL/848.png,"Restore 2 (When this unit attacks, heal 2 damage from your base.)",4,Restore,0.15,,0.43,Adept ARC-170,848,3,Common,JTL,,REPUBLIC;VEHICLE;FIGHTER,Unit,False,Hyperspace Foil
JTL-016,Ground,Amélie Hutt,Cunning;Heroism,https://cdn.swu-db.com/images/cards/JTL/016-b.png,"On Attack: You may exhaust a unit. If you do, its controller creates an X-Wing token.",6,True,"Epic Action: If you control 6 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/JTL/016.png,"Action [C=1, Exhaust]: Exhaust a non-leader unit. If you do, its controller creates an X-Wing token.",8,,,0.03,0.07,Admiral Ackbar,016,3,Common,JTL,It's A Trap!,REBEL;OFFICIAL,Leader,True,Normal
JTL-1012,Ground,Amélie Hutt,Cunning;Heroism,https://cdn.swu-db.com/images/cards/JTL/1012-b.png,"On Attack: You may exhaust a unit. If you do, its controller creates an X-Wing token.",6,True,"Epic Action: If you control 6 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/JTL/1012.png,"Action [C=1, Exhaust]: Exhaust a non-leader unit. If you do, its controller creates an X-Wing token.",8,,,44.37,44.04,Admiral Ackbar,1012,3,Common,JTL,It's A Trap!,REBEL;OFFICIAL,Leader,True,Showcase
JTL-278,Ground,Amélie Hutt,Cunning;Heroism,https://cdn.swu-db.com/images/cards/JTL/278-b.png,"On Attack: You may exhaust a unit. If you do, its controller creates an X-Wing token.",6,True,"Epic Action: If you control 6 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/JTL/278.png,"Action [C=1, Exhaust]: Exhaust a non-leader unit. If you do, its controller creates an X-Wing token.",8,,,0.04,0.10,Admiral Ackbar,278,3,Common,JTL,It's A Trap!,REBEL;OFFICIAL,Leader,True,Hyperspace
JTL-007,Ground,Robynn Frauhn,Command;Heroism,https://cdn.swu-db.com/images/cards/JTL/007-b.png,On Attack: You may give another Resistance unit or a unit with a Resistance upgrade on it +2/+2 for this phase.,6,True,"Epic Action: If you control 6 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/JTL/007.png,"Action [C=1, Exhaust]: Give a Resistance unit or a unit with a Resistance upgrade on it +2/+2 for this phase.",8,,,0.05,0.12,Admiral Holdo,007,3,Rare,JTL,We're Not Alone,RESISTANCE;OFFICIAL,Leader,True,Normal
JTL-1003,Ground,Robynn Frauhn,Command;Heroism,https://cdn.swu-db.com/images/cards/JTL/1003-b.png,On Attack: You may give another Resistance unit or a unit with a Resistance upgrade on it +2/+2 for this phase.,6,True,"Epic Action: If you control 6 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/JTL/1003.png,"Action [C=1, Exhaust]: Give a Resistance unit or a unit with a Resistance upgrade on it +2/+2 for this phase.",8,,,37.99,41.72,Admiral Holdo,1003,3,Rare,JTL,We're Not Alone,RESISTANCE;OFFICIAL,Leader,True,Showcase
JTL-269,Ground,Robynn Frauhn,Command;Heroism,https://cdn.swu-db.com/images/cards/JTL/269-b.png,On Attack: You may give another Resistance unit or a unit with a Resistance upgrade on it +2/+2 for this phase.,6,True,"Epic Action: If you control 6 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/JTL/269.png,"Action [C=1, Exhaust]: Give a Resistance unit or a unit with a Resistance upgrade on it +2/+2 for this phase.",8,,,0.05,0.24,Admiral Holdo,269,3,Rare,JTL,We're Not Alone,RESISTANCE;OFFICIAL,Leader,True,Hyperspace
